open,high,low,close,volume,vwap,rsi,bb_mavg,bb_upper,bb_lower,bb_hi,bb_li,timestamp
30787,30864,30787,30802,2.1079,30801.125148,38.29180260439782,31131.3,32008.136609637153,30254.463390362846,0.0,0.0,2021-07-19 21:00:00+00:00
30770,30910,30770,30871,1.1553,30897.64546,41.10777788269493,31096.65,31956.96698228036,30236.333017719644,0.0,0.0,2021-07-19 22:00:00+00:00
30890,30921,30804,30815,0.0537,30902.461825,39.531080724613496,31058.4,31897.109103324852,30219.69089667515,0.0,0.0,2021-07-19 23:00:00+00:00
30805,31057,30796,30796,14.0588,30883.055944,38.98473304173493,31011.7,31798.002003049703,30225.397996950298,0.0,0.0,2021-07-20 00:00:00+00:00
30860,30860,30545,30650,1.1801,30643.591475,34.983634205888606,30951.05,31647.31158159127,30254.788418408727,0.0,0.0,2021-07-20 01:00:00+00:00
30650,30683,30152,30226,23.7861,30351.283905,26.483025910510392,30875.3,31540.25356228836,30210.34643771164,0.0,0.0,2021-07-20 02:00:00+00:00
30215,30230,29533,29613,37.0131,29714.542702,19.21392772236868,30775.15,31556.812401551964,29993.48759844804,0.0,1.0,2021-07-20 03:00:00+00:00
29676,29890,29542,29657,19.0793,29712.536791,20.892376730373627,30683.0,31532.705831449908,29833.294168550092,0.0,1.0,2021-07-20 04:00:00+00:00
29698,29790,29633,29722,6.854,29708.730581,23.423495699042135,30599.6,31482.160003625802,29717.039996374195,0.0,0.0,2021-07-20 05:00:00+00:00
29747,29747,29644,29699,3.8518,29710.653279,23.141344453760624,30525.25,31447.336519801684,29603.163480198316,0.0,0.0,2021-07-20 06:00:00+00:00
29728,29855,29728,29793,8.0981,29815.512787,27.01100057723734,30451.75,31361.15505276801,29542.34494723199,0.0,0.0,2021-07-20 07:00:00+00:00
29870,29870,29680,29680,2.3043,29713.293668,25.35815415936895,30398.75,31357.02112551719,29440.47887448281,0.0,0.0,2021-07-20 08:00:00+00:00
29667,29767,29300,29413,31.6194,29533.09694,21.941672739459293,30338.4,31381.599578220765,29295.20042177924,0.0,0.0,2021-07-20 09:00:00+00:00
29406,29645,29347,29618,7.9668,29480.845245,29.765823388260046,30280.5,31348.37274522762,29212.62725477238,0.0,0.0,2021-07-20 10:00:00+00:00
29733,29753,29575,29688,12.9285,29673.528522,32.26257594317951,30231.55,31313.724935026672,29149.375064973327,0.0,0.0,2021-07-20 11:00:00+00:00
29728,29756,29654,29756,4.937,29714.149261,34.69138318711876,30184.45,31263.312081083575,29105.587918916426,0.0,0.0,2021-07-20 12:00:00+00:00
29701,29705,29464,29548,4.1602,29571.543267,31.026680160983815,30125.05,31206.716394966574,29043.383605033425,0.0,0.0,2021-07-20 13:00:00+00:00
29520,29777,29321,29709,33.1676,29563.939959,36.60873163150702,30078.75,31148.34672306902,29009.15327693098,0.0,0.0,2021-07-20 14:00:00+00:00
29736,29994,29722,29894,27.0427,29884.99019,42.37933842538687,30036.15,31063.067771781163,29009.23222821884,0.0,0.0,2021-07-20 15:00:00+00:00
29905,29908,29675,29675,23.914,29789.306114,37.97258024293514,29981.25,30961.046075721875,29001.453924278125,0.0,0.0,2021-07-20 16:00:00+00:00
29685,29700,29622,29654,7.7501,29639.05147,37.56916118702857,29923.85,30836.819720198862,29010.880279801135,0.0,0.0,2021-07-20 17:00:00+00:00
29678,29800,29678,29800,15.572,29789.033804,42.16922206295699,29870.3,30673.84989888618,29066.75010111382,0.0,0.0,2021-07-20 18:00:00+00:00
29747,29869,29746,29796,5.5318,29830.216367,42.077745741306046,29819.35,30496.04883256881,29142.651167431188,0.0,0.0,2021-07-20 19:00:00+00:00
